Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment,type
SRR23920135,RNA-Seq,300,17246491200,PRJNA946733,SAMN33830924,5485957628,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731470,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106614,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:13:00Z,1,GSM7106614,blood,SRP428267,blood,TRAIL and IL-10 treated macrophages (TRAIL+M2c polarized),M2
SRR23920136,RNA-Seq,300,14616309300,PRJNA946733,SAMN33830925,4675314188,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731469,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106613,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:06:00Z,1,GSM7106613,blood,SRP428267,blood,IL-10 treated macrophages (M2c polarized),M2
SRR23920137,RNA-Seq,300,14613659100,PRJNA946733,SAMN33830926,4660748932,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731468,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106612,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:15:00Z,1,GSM7106612,blood,SRP428267,blood,TRAIL and IL-4 treated macrophages (TRAIL+M2a polarized),M2
SRR23920138,RNA-Seq,300,19873255200,PRJNA946733,SAMN33830927,6315539862,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731467,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106611,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:30:00Z,1,GSM7106611,blood,SRP428267,blood,IL-4 treated macrophages (M2a polarized),M2
SRR23920139,RNA-Seq,300,17879225700,PRJNA946733,SAMN33830928,5722839665,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731466,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106610,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:07:00Z,1,GSM7106610,blood,SRP428267,blood,TRAIL treated macrophages,Mac
SRR23920140,RNA-Seq,300,16837800000,PRJNA946733,SAMN33830929,5345171026,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731465,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106609,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:27:00Z,1,GSM7106609,blood,SRP428267,blood,TRAIL and LPS+IFN gamma treated macrophages (TRAIL+M1 polarized),M2
SRR23920141,RNA-Seq,300,15706026000,PRJNA946733,SAMN33830930,5026508919,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731464,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106608,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:25:00Z,1,GSM7106608,blood,SRP428267,blood,LPS+IFN gamma treated macrophages (M1 polarized),M1
SRR23920142,RNA-Seq,300,15587033700,PRJNA946733,SAMN33830931,4991890937,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731463,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106607,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:28:00Z,1,GSM7106607,blood,SRP428267,blood,untreated/unpolarized macrophages (M0),M0
SRR23920143,RNA-Seq,300,18346077300,PRJNA946733,SAMN33830932,5842380618,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731462,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106606,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:27:00Z,1,GSM7106606,blood,SRP428267,blood,TRAIL treated macrophages,Mac
SRR23920144,RNA-Seq,300,16998275400,PRJNA946733,SAMN33830933,5381796953,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731461,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106605,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:27:00Z,1,GSM7106605,blood,SRP428267,blood,TRAIL and IL-10 treated macrophages (TRAIL+M2c polarized),M2
SRR23920145,RNA-Seq,300,16096186500,PRJNA946733,SAMN33830934,5087293875,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731460,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106604,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:11:00Z,1,GSM7106604,blood,SRP428267,blood,IL-10 treated macrophages (M2c polarized),M2
SRR23920146,RNA-Seq,300,13433583900,PRJNA946733,SAMN33830935,4217612974,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731459,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106603,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:08:00Z,1,GSM7106603,blood,SRP428267,blood,TRAIL and IL-4 treated macrophages (TRAIL+M2a polarized),M2
SRR23920147,RNA-Seq,300,16151742600,PRJNA946733,SAMN33830936,5095660030,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731458,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106602,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:23:00Z,1,GSM7106602,blood,SRP428267,blood,IL-4 treated macrophages (M2a polarized),M2
SRR23920148,RNA-Seq,300,17827467000,PRJNA946733,SAMN33830937,5654440470,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731457,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106601,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:19:00Z,1,GSM7106601,blood,SRP428267,blood,untreated/unpolarized macrophages (M0),M0
SRR23920149,RNA-Seq,300,16974782700,PRJNA946733,SAMN33830938,5370056151,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731456,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106600,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:07:00Z,1,GSM7106600,blood,SRP428267,blood,TRAIL treated macrophages,Mac
